Region Code,Bldg State,Bldg Status,Property Type,Bldg ANSI Usable,Total Parking Spaces,Owned/Leased,Construction Date,Historical Type,Historical Status,ABA Accessibility Flag ,Building Age,Cluster
1.0,CT,ACTIVE,BUILDING,93394.0,28.0,OWNED,2033-01-01,Field Not In Use,National Register Listed,Will Conform,-8.0,0
1.0,CT,ACTIVE,BUILDING,67174.0,0.0,OWNED,2019-01-01,Field Not In Use,National Register Listed,Will Conform,6.0,0
1.0,CT,ACTIVE,BUILDING,269.0,0.0,LEASED,2033-01-01,Field Not In Use,National Register Listed,Will Conform,-8.0,0
1.0,CT,ACTIVE,BUILDING,197999.0,105.0,OWNED,2063-01-01,Field Not In Use, ,Will Conform,-38.0,0
1.0,CT,ACTIVE,BUILDING,85551.0,131.0,OWNED,2067-01-01,Field Not In Use, ,Will Conform,-42.0,0
1.0,CT,ACTIVE,BUILDING,5051.999999999996,4.999999999999993,OWNED,2069-01-01,Field Not In Use, ,Will Conform,-44.0,0
1.0,CT,ACTIVE,BUILDING,82453.0,83.0,OWNED,1977-01-01,Field Not In Use,Not Evaluated,Will Conform,48.0,0
1.0,CT,ACTIVE,BUILDING,37395.0,164.0,LEASED,2000-01-01,Field Not In Use,Not Evaluated,Will Conform,25.0,0
1.0,CT,ACTIVE,BUILDING,5020.000000000004,8.0,LEASED,2000-01-01,Field Not In Use,Not Evaluated,Will Conform,25.0,0
1.0,CT,ACTIVE,BUILDING,0.0,0.0,LEASED,2000-01-01,Field Not In Use,Not Evaluated,Will Conform,25.0,0
1.0,CT,ACTIVE,BUILDING,15150.0,0.0,LEASED,2000-01-01,Field Not In Use,Not Evaluated,Will Conform,25.0,0
1.0,CT,ACTIVE,BUILDING,95786.0,47.0,LEASED,2000-01-01,Field Not In Use,Not Evaluated,Will Conform,25.0,0
1.0,CT,ACTIVE,BUILDING,13827.0,27.0,LEASED,2000-01-01,Field Not In Use,Not Evaluated,Will Conform,25.0,0
1.0,CT,ACTIVE,BUILDING,11670.0,39.0,LEASED,2000-01-01,Field Not In Use,Not Evaluated,Will Conform,25.0,0
1.0,CT,ACTIVE,BUILDING,0.0,0.0,LEASED,2000-01-01,Field Not In Use,Not Evaluated,Will Conform,25.0,0
1.0,CT,ACTIVE,BUILDING,31055.0,103.0,LEASED,2000-01-01,Field Not In Use,Not Evaluated,Will Conform,25.0,0
1.0,CT,ACTIVE,BUILDING,1950.0,11.0,LEASED,2000-01-01,Field Not In Use,Not Evaluated,Will Conform,25.0,0
1.0,CT,ACTIVE,BUILDING,21432.0,9.0,LEASED,2000-01-01,Field Not In Use,Not Evaluated,Will Conform,25.0,0
1.0,CT,ACTIVE,BUILDING,0.0,0.0,LEASED,2000-01-01,Field Not In Use,Not Evaluated,Yes,25.0,0
1.0,CT,ACTIVE,BUILDING,78826.0,220.0,LEASED,2000-01-01,Field Not In Use,Not Evaluated,Yes,25.0,0
1.0,CT,ACTIVE,BUILDING,6276.999999999996,0.0,LEASED,2000-01-01,Field Not In Use,Not Evaluated,Yes,25.0,0
1.0,CT,ACTIVE,BUILDING,10302.0,52.0,LEASED,2000-01-01,Field Not In Use,Not Evaluated,Yes,25.0,0
1.0,CT,ACTIVE,BUILDING,5198.0,21.0,LEASED,2000-01-01,Field Not In Use,Not Evaluated,Yes,25.0,0
1.0,CT,ACTIVE,BUILDING,11825.0,4.999999999999993,LEASED,2000-01-01,Field Not In Use,Not Evaluated,Yes,25.0,0
1.0,CT,ACTIVE,BUILDING,6065.0,25.0,LEASED,2000-01-01,Field Not In Use,Not Evaluated,Yes,25.0,0
1.0,CT,ACTIVE,BUILDING,1137.0,0.0,LEASED,2000-01-01,Field Not In Use,Not Evaluated,Yes,25.0,0
1.0,CT,ACTIVE,BUILDING,47200.0,164.0,LEASED,2000-01-01,Field Not In Use,Not Evaluated,Yes,25.0,0
1.0,CT,ACTIVE,BUILDING,459.0,0.0,LEASED,2000-01-01,Field Not In Use,Not Evaluated,Yes,25.0,0
1.0,CT,ACTIVE,BUILDING,1004.0,2.999999999999993,LEASED,2000-01-01,Field Not In Use,Not Evaluated,Yes,25.0,0
1.0,CT,ACTIVE,BUILDING,5303.0,17.0,LEASED,2009-06-25,Field Not In Use,Not Evaluated,Yes,16.0,0
1.0,CT,ACTIVE,BUILDING,27394.0,15.0,LEASED,2009-04-01,Field Not In Use,Not Evaluated,Yes,16.0,0
1.0,CT,ACTIVE,BUILDING,6266.0,22.0,LEASED,2008-02-01,Field Not In Use,Not Evaluated,Yes,17.0,0
1.0,CT,ACTIVE,BUILDING,13705.0,32.0,LEASED,2009-10-01,Field Not In Use,Not Evaluated,Yes,16.0,0
1.0,CT,ACTIVE,BUILDING,0.0,0.0,LEASED,2009-09-01,Field Not In Use,Not Evaluated,Yes,16.0,0
1.0,CT,ACTIVE,BUILDING,1380.0000000000036,6.0,LEASED,2009-03-19,Field Not In Use,Not Evaluated,Yes,16.0,0
1.0,CT,ACTIVE,BUILDING,6314.000000000004,40.0,LEASED,2009-06-25,Field Not In Use,Not Evaluated,No,16.0,0
1.0,CT,ACTIVE,BUILDING,4047.9999999999964,19.0,LEASED,2000-07-01,Field Not In Use,Not Evaluated,Yes,25.0,0
1.0,CT,ACTIVE,BUILDING,4217.0,29.0,LEASED,1985-05-01,Field Not In Use,Not Evaluated,Will Conform,40.0,0
1.0,CT,ACTIVE,BUILDING,3961.0,25.0,LEASED,2000-01-01,Field Not In Use,Not Evaluated,Will Conform,25.0,0
1.0,CT,ACTIVE,BUILDING,18405.0,6.0,LEASED,2010-06-09,Field Not In Use,Not Evaluated,Yes,15.0,0
1.0,CT,ACTIVE,BUILDING,8648.0,36.0,LEASED,2000-01-01,Field Not In Use,Not Evaluated,Yes,25.0,0
1.0,CT,ACTIVE,BUILDING,4655.0,2.0,LEASED,2000-01-01,Field Not In Use, ,Yes,25.0,0
1.0,CT,ACTIVE,BUILDING,19265.0,40.0,LEASED,2000-01-01,Field Not In Use,Not Evaluated,Yes,25.0,0
1.0,CT,ACTIVE,BUILDING,2237.0,10.0,LEASED,2000-01-01,Field Not In Use,Not Evaluated,Yes,25.0,0
1.0,CT,ACTIVE,BUILDING,11406.0,25.0,LEASED,2000-01-01,Field Not In Use,Not Evaluated,Yes,25.0,0
1.0,CT,ACTIVE,BUILDING,5374.999999999996,14.0,LEASED,2000-01-01,Field Not In Use,Not Evaluated,Yes,25.0,0
1.0,CT,ACTIVE,BUILDING,6322.0,0.0,LEASED,2000-01-01,Field Not In Use,Not Evaluated,Yes,25.0,0
1.0,CT,ACTIVE,BUILDING,4967.999999999996,0.9999999999999929,LEASED,2000-01-01,Field Not In Use,Not Evaluated,Will Conform,25.0,0
1.0,CT,ACTIVE,STRUCTURE,0.0,10.0,LEASED,2000-01-01,Field Not In Use, ,Will Conform,25.0,0
1.0,CT,ACTIVE,BUILDING,4550.0,0.0,LEASED,2000-01-01,Field Not In Use,Not Evaluated,Will Conform,25.0,0
1.0,CT,ACTIVE,BUILDING,4711.999999999996,20.0,LEASED,2000-01-01,Field Not In Use,Not Evaluated,Will Conform,25.0,0
1.0,CT,ACTIVE,BUILDING,2228.9999999999964,0.0,LEASED,2000-01-01,Field Not In Use,Not Evaluated,Yes,25.0,0
1.0,CT,ACTIVE,BUILDING,6939.999999999996,4.0,LEASED,2000-01-01,Field Not In Use, ,Will Conform,25.0,0
1.0,CT,ACTIVE,BUILDING,6220.0,0.0,LEASED,2000-01-01,Field Not In Use, ,No,25.0,0
1.0,CT,ACTIVE,BUILDING,14954.0,47.0,LEASED,2000-01-01,Field Not In Use,Not Evaluated,Yes,25.0,0
1.0,MA,ACTIVE,BUILDING,88130.0,2.999999999999993,OWNED,2018-01-01,Field Not In Use, ,Yes,7.0,0
1.0,MA,ACTIVE,BUILDING,388292.0,32.0,OWNED,2033-01-01,Field Not In Use,National Register Listed,Will Conform,-8.0,3
1.0,MA,ACTIVE,BUILDING,541458.0,69.0,OWNED,1998-09-01,Field Not In Use,Not Evaluated,Will Conform,27.0,3
1.0,MA,ACTIVE,BUILDING,78291.0,86.0,OWNED,2008-08-01,Field Not In Use,Not Evaluated,Will Conform,17.0,0
